id,provider_id,special_need_type_id
1,6,5
2,6,7
3,8,1
4,8,3
5,55,14
6,74,16
7,102,9
8,102,10
9,102,12
10,106,5
11,106,7
12,112,5
13,142,14
14,142,16
15,144,5
16,144,6
17,144,7
18,147,3
19,157,14
20,157,15
21,157,16
22,170,14
23,170,16
24,192,9
25,192,10
26,192,11
27,192,12
28,200,11
29,230,1
30,247,1
31,247,2
32,247,4
33,251,16
34,271,2
35,271,4
36,278,6
37,278,8
38,282,5
39,282,6
40,282,8
41,310,5
42,310,7
43,310,8
44,311,12
45,321,6
46,321,8
47,321,9
48,321,11
49,331,15
50,350,7
51,365,1
52,365,2
53,365,3
54,366,5
55,381,5
56,381,6
57,381,8
58,390,6
59,390,7
60,390,8
61,418,13
62,418,15
63,424,11
64,426,4
65,427,9
66,430,1
67,430,2
68,430,4
69,433,10
70,433,11
71,433,12
72,444,1
73,444,3
74,458,8
75,463,9
76,463,11
77,463,12
78,464,5
79,464,7
80,464,8
81,469,1
82,469,2
83,469,3
84,494,2
85,511,11
86,516,7
87,527,9
88,527,10
89,527,12
90,546,9
91,594,8
92,594,14
93,594,16
94,602,14
95,602,16
96,605,14
97,609,12
98,616,6
99,617,9
100,617,10
101,617,11
102,617,12
103,621,13
104,621,15
105,629,1
106,629,3
107,629,4
108,661,1
109,661,2
110,661,3
111,682,9
112,700,15
113,706,6
114,712,7
115,712,12
116,728,14
117,739,13
118,739,14
119,739,15
120,747,9
121,747,11
122,755,4
123,772,10
124,772,11
125,772,12
126,789,14
127,789,15
128,789,16
129,792,9
130,792,10
131,792,11
132,823,9
133,827,7
134,845,14
135,845,16
136,853,3
137,898,14
138,898,16
139,913,1
140,913,2
141,913,4
142,921,6
143,921,8
144,934,1
145,943,8
146,966,1
147,975,14
148,975,16
149,982,13
150,982,14
151,982,16
152,984,2
153,984,3
154,984,4
155,991,3
156,998,13
157,998,15
158,998,16
159,1007,5
160,1007,7
161,1007,8
162,1025,13
163,1038,2
164,1038,4
165,1043,6
166,1044,13
167,1044,14
168,1044,15
169,1093,3
170,1106,5
171,1106,6
172,1106,7
173,1120,3
174,1143,13
175,1143,15
176,1143,16
177,1145,8
178,1157,10
179,1157,12
180,1161,9
181,1161,11
182,1169,6
183,1169,8
184,1176,7
185,1180,13
186,1180,15
187,1183,5
188,1183,6
189,1183,7
190,1187,1
191,1187,2
192,1187,4
193,1204,13
194,1207,13
195,1207,15
196,1207,16
197,1216,6
198,1240,10
199,1240,11
200,1240,12
201,1241,13
202,1241,15
203,1244,6
204,1257,5
205,1257,7
206,1268,5
207,1268,6
208,1268,7
209,1273,13
210,1276,3
211,1276,13
212,1276,14
213,1276,16
214,1282,5
215,1282,7
216,1285,5
217,1285,7
218,1308,12
219,1318,4
220,1319,14
221,1345,6
222,1345,8
223,1351,14
224,1351,15
225,1351,16
226,1353,2
227,1353,3
228,1353,4
229,1366,1
230,1366,3
231,1366,4
232,1376,14
233,1376,15
234,1376,16
235,1384,5
236,1385,5
237,1385,7
238,1385,8
239,1388,9
240,1397,16
241,1432,5
242,1432,7
243,1432,8
244,1438,14
245,1438,16
246,1456,14
247,1456,16
248,1470,14
249,1473,9
250,1473,10
251,1473,12
252,1486,13
253,1486,15
254,1486,16
255,1501,10
256,1503,14
257,1503,16
258,1506,5
259,1506,6
260,1506,7
261,1513,15
262,1527,8
263,1549,2
264,1549,3
265,1549,4
266,1560,5
267,1560,6
268,1560,7
269,1560,8
270,1560,9
271,1560,11
272,1616,16
273,1645,5
274,1645,7
275,1648,2
276,1648,4
277,1656,9
278,1673,12
279,1676,10
280,1676,12
281,1679,1
282,1679,2
283,1679,4
284,1708,12
285,1727,5
286,1738,11
287,1739,7
288,1762,1
289,1762,3
290,1781,5
291,1781,7
292,1808,5
293,1808,7
294,1808,8
295,1817,5
296,1817,6
297,1817,7
298,1817,8
299,1819,1
300,1819,3
301,1820,14
302,1821,7
303,1831,5
304,1831,6
305,1831,7
306,1834,12
307,1841,2
308,1841,4
309,1854,6
310,1854,7
311,1854,8
312,1855,3
313,1871,2
314,1871,4
315,1872,5
316,1885,11
317,1897,3
318,1916,1
319,1916,3
320,1943,10
321,1983,5
322,2018,13
323,2018,15
324,2021,2
325,2021,4
326,2021,9
327,2021,11
328,2025,6
329,2066,7
330,2070,13
331,2108,11
332,2116,9
333,2116,10
334,2116,11
335,2127,11
336,2154,15
337,2159,6
338,2161,5
339,2164,6
340,2164,8
341,2168,16
342,2169,11
343,2170,9
344,2170,11
345,2190,14
346,2190,16
347,2210,2
348,2222,5
349,2222,6
350,2222,7
351,2222,8
352,2231,13
353,2241,9
354,2257,5
355,2257,6
356,2257,7
357,2257,10
358,2257,12
359,2257,13
360,2257,15
361,2267,9
362,2290,10
363,2290,12
364,2296,10
365,2296,11
366,2296,12
367,2337,4
368,2339,13
369,2339,15
370,2344,5
371,2344,7
372,2344,8
373,2349,5
374,2355,2
375,2355,4
376,2355,10
377,2356,6
378,2389,1
379,2389,2
380,2389,3
381,2396,6
382,2396,8
383,2397,9
384,2397,10
385,2397,11
386,2418,5
387,2418,7
388,2421,15
389,2424,9
390,2424,10
391,2424,11
392,2436,9
393,2436,10
394,2436,12
395,2488,5
396,2489,6
397,2497,5
398,2497,6
399,2497,7
400,2497,10
401,2497,12
402,2498,14
403,2502,13
404,2502,14
405,2502,16
406,2503,5
407,2532,6
408,2532,7
409,2532,8
410,2543,6
411,2545,1
412,2546,1
413,2546,2
414,2546,3
415,2565,8
416,2615,4
417,2637,5
418,2667,13
419,2667,15
420,2669,12
421,2671,9
422,2671,10
423,2671,12
424,2685,2
425,2686,2
426,2692,8
427,2718,9
428,2718,10
429,2718,11
430,2740,5
431,2746,14
432,2747,2
433,2747,4
434,2754,10
435,2768,13
436,2768,14
437,2768,15
438,2778,1
439,2783,6
440,2783,7
441,2783,8
442,2814,8
443,2814,13
444,2814,15
445,2814,16
446,2815,5
447,2815,7
448,2815,8
449,2815,15
450,2823,12
451,2825,7
452,2835,13
453,2835,15
454,2835,16
455,2838,13
456,2853,2
457,2857,11
458,2862,5
459,2865,6
460,2871,16
461,2881,11
462,2889,5
463,2889,7
464,2889,8
465,2898,4
466,2922,10
467,2924,2
468,2938,12
469,2947,8
470,2972,13
471,2980,5
472,2980,6
473,2980,8
474,2983,5
475,2983,6
476,2983,7
477,2998,5
478,2998,6
479,2998,8
480,3004,5
481,3004,7
482,3004,9
483,3004,16
484,3013,3
485,3017,1
486,3017,3
487,3017,4
488,3021,10
489,3021,12
490,3031,7
491,3039,13
492,3039,14
493,3039,16
494,3067,11
495,3074,13
496,3074,15
497,3090,2
498,3090,3
499,3090,4
500,3091,13
501,3098,13
502,3098,15
503,3099,10
504,3099,12
505,3120,1
506,3120,2
507,3120,4
508,3128,5
509,3135,9
510,3135,11
511,3142,7
512,3165,11
513,3173,1
514,3173,3
515,3194,1
516,3194,2
517,3194,3
518,3205,9
519,3205,11
520,3212,13
521,3212,15
522,3212,16
523,3244,12
524,3274,1
525,3276,9
526,3276,11
527,3290,9
528,3296,11
529,3306,6
530,3306,8
531,3319,6
532,3319,7
533,3319,8
534,3323,5
535,3327,2
536,3327,4
537,3327,10
538,3336,5
539,3336,7
540,3357,5
541,3369,13
542,3369,15
543,3369,16
544,3380,5
545,3380,6
546,3380,7
547,3393,5
548,3393,6
