id, price, provider_id, age_group_id
1,120,3,1
2,95,3,2
3,80,3,3
4,90,3,4
5,95,3,5
6,65,3,6
7,55,3,7
8,115,4,1
9,100,4,2
10,85,4,3
11,85,4,4
12,85,4,5
13,60,4,6
14,60,4,7
15,115,5,1
16,90,5,2
17,75,5,3
18,85,5,4
19,90,5,5
20,60,5,6
21,60,5,7
22,65,6,1
23,55,6,2
24,45,6,3
25,60,6,4
26,40,6,5
27,25,6,6
28,30,6,7
29,70,7,1
30,65,7,2
31,45,7,3
32,45,7,4
33,50,7,5
34,30,7,6
35,35,7,7
36,60,8,1
37,55,8,2
38,50,8,3
39,50,8,4
40,45,8,5
41,25,8,6
42,35,8,7
43,65,9,1
44,65,9,2
45,45,9,3
46,50,9,4
47,60,9,5
48,20,9,6
49,30,9,7
50,65,10,1
51,55,10,2
52,45,10,3
53,50,10,4
54,50,10,5
55,25,10,6
56,30,10,7
57,65,11,1
58,70,11,2
59,55,11,3
60,50,11,4
61,45,11,5
62,25,11,6
63,35,11,7
64,75,12,1
65,60,12,2
66,45,12,3
67,50,12,4
68,65,12,5
69,30,12,6
70,25,12,7
71,120,13,1
72,110,13,2
73,85,13,3
74,85,13,4
75,80,13,5
76,55,13,6
77,50,13,7
78,120,14,1
79,100,14,2
80,90,14,3
81,85,14,4
82,85,14,5
83,50,14,6
84,50,14,7
85,125,15,1
86,105,15,2
87,85,15,3
88,80,15,4
89,85,15,5
90,60,15,6
91,60,15,7
92,75,16,1
93,55,16,2
94,50,16,3
95,55,16,4
96,55,16,5
97,30,16,6
98,30,16,7
99,70,17,1
100,60,17,2
101,45,17,3
102,55,17,4
103,50,17,5
104,35,17,6
105,25,17,7
106,65,18,1
107,65,18,2
108,55,18,3
109,50,18,4
110,50,18,5
111,30,18,6
112,20,18,7
113,125,19,1
114,105,19,2
115,75,19,3
116,85,19,4
117,85,19,5
118,50,19,6
119,60,19,7
120,60,20,1
121,55,20,2
122,50,20,3
123,40,20,4
124,45,20,5
125,20,20,6
126,30,20,7
127,75,21,1
128,60,21,2
129,50,21,3
130,55,21,4
131,60,21,5
132,35,21,6
133,30,21,7
134,65,22,1
135,60,22,2
136,50,22,3
137,50,22,4
138,55,22,5
139,30,22,6
140,30,22,7
141,130,23,1
142,100,23,2
143,80,23,3
144,90,23,4
145,90,23,5
146,55,23,6
147,55,23,7
148,65,24,1
149,60,24,2
150,45,24,3
151,55,24,4
152,50,24,5
153,25,24,6
154,30,24,7
155,70,25,1
156,60,25,2
157,50,25,3
158,60,25,4
159,45,25,5
160,30,25,6
161,20,25,7
162,65,26,1
163,55,26,2
164,50,26,3
165,55,26,4
166,50,26,5
167,30,26,6
168,30,26,7
169,65,27,1
170,55,27,2
171,50,27,3
172,55,27,4
173,50,27,5
174,30,27,6
175,30,27,7
