id, open_slots, provider_id, age_group_id
1,0,3,1
2,1,3,2
3,0,3,3
4,0,3,4
5,0,3,5
6,0,3,6
7,0,3,7
8,11,4,1
9,0,4,2
10,14,4,3
11,0,4,4
12,0,4,5
13,0,4,6
14,0,4,7
15,0,5,1
16,0,5,2
17,0,5,3
18,5,5,4
19,1,5,5
20,9,5,6
21,0,5,7
22,0,6,1
23,1,6,2
24,0,6,3
25,0,6,4
26,0,6,5
27,0,6,6
28,0,6,7
29,0,7,1
30,1,7,2
31,1,7,3
32,1,7,4
33,0,7,5
34,0,7,6
35,0,7,7
36,1,8,1
37,1,8,2
38,1,8,3
39,1,8,4
40,0,8,5
41,0,8,6
42,0,8,7
43,0,9,1
44,0,9,2
45,0,9,3
46,0,9,4
47,0,9,5
48,0,9,6
49,0,9,7
50,0,10,1
51,1,10,2
52,0,10,3
53,0,10,4
54,0,10,5
55,0,10,6
56,0,10,7
57,0,11,1
58,1,11,2
59,0,11,3
60,0,11,4
61,0,11,5
62,0,11,6
63,1,11,7
64,0,12,1
65,1,12,2
66,0,12,3
67,0,12,4
68,1,12,5
69,1,12,6
70,1,12,7
71,0,13,1
72,7,13,2
73,0,13,3
74,0,13,4
75,0,13,5
76,1,13,6
77,0,13,7
78,0,14,1
79,0,14,2
80,0,14,3
81,0,14,4
82,0,14,5
83,8,14,6
84,0,14,7
85,7,15,1
86,3,15,2
87,0,15,3
88,0,15,4
89,0,15,5
90,2,15,6
91,0,15,7
92,0,16,1
93,0,16,2
94,0,16,3
95,0,16,4
96,0,16,5
97,0,16,6
98,0,16,7
99,0,17,1
100,1,17,2
101,1,17,3
102,0,17,4
103,0,17,5
104,1,17,6
105,0,17,7
106,0,18,1
107,0,18,2
108,1,18,3
109,1,18,4
110,1,18,5
111,1,18,6
112,0,18,7
113,0,19,1
114,0,19,2
115,0,19,3
116,6,19,4
117,0,19,5
118,0,19,6
119,0,19,7
120,1,20,1
121,0,20,2
122,0,20,3
123,0,20,4
124,1,20,5
125,0,20,6
126,0,20,7
127,0,21,1
128,1,21,2
129,0,21,3
130,1,21,4
131,0,21,5
132,1,21,6
133,0,21,7
134,0,22,1
135,0,22,2
136,0,22,3
137,1,22,4
138,0,22,5
139,0,22,6
140,0,22,7
141,4,23,1
142,0,23,2
143,0,23,3
144,0,23,4
145,0,23,5
146,2,23,6
147,0,23,7
148,0,24,1
149,0,24,2
150,0,24,3
151,0,24,4
152,0,24,5
153,0,24,6
154,0,24,7
155,0,25,1
156,0,25,2
157,0,25,3
158,0,25,4
159,0,25,5
160,0,25,6
161,0,25,7
162,0,26,1
163,0,26,2
164,0,26,3
165,0,26,4
166,0,26,5
167,0,26,6
168,0,26,7
169,0,27,1
170,0,27,2
171,0,27,3
172,0,27,4
173,0,27,5
174,0,27,6
175,0,27,7
176,1,28,1
177,0,28,2
178,0,28,3
179,1,28,4
180,1,28,5
181,1,28,6
182,1,28,7
183,0,29,1
184,0,29,2
185,0,29,3
186,0,29,4
187,0,29,5
188,0,29,6
189,1,29,7
190,1,30,1
191,0,30,2
192,0,30,3
193,0,30,4
194,1,30,5
195,0,30,6
196,0,30,7
197,0,31,1
198,0,31,2
199,0,31,3
200,0,31,4
201,0,31,5
202,0,31,6
203,0,31,7
204,0,32,1
205,1,32,2
206,0,32,3
207,0,32,4
208,0,32,5
209,0,32,6
210,0,32,7
211,0,33,1
212,0,33,2
213,0,33,3
214,0,33,4
215,0,33,5
216,0,33,6
217,0,33,7
218,0,34,1
219,0,34,2
220,0,34,3
221,18,34,4
222,16,34,5
223,0,34,6
224,0,34,7
225,1,35,1
226,0,35,2
227,0,35,3
228,0,35,4
229,0,35,5
230,0,35,6
231,0,35,7
232,0,36,1
233,0,36,2
234,0,36,3
235,0,36,4
236,0,36,5
237,1,36,6
238,11,36,7
239,0,37,1
240,0,37,2
241,0,37,3
242,0,37,4
243,0,37,5
244,0,37,6
245,0,37,7
246,0,38,1
247,0,38,2
248,0,38,3
249,0,38,4
250,0,38,5
251,0,38,6
252,0,38,7
253,1,39,1
254,0,39,2
255,1,39,3
256,0,39,4
257,2,39,5
258,0,39,6
259,1,39,7
260,0,40,1
261,0,40,2
262,0,40,3
263,1,40,4
264,1,40,5
265,0,40,6
266,1,40,7
267,1,41,1
268,0,41,2
269,1,41,3
270,0,41,4
271,1,41,5
272,1,41,6
273,1,41,7
274,0,42,1
275,3,42,2
276,0,42,3
277,1,42,4
278,0,42,5
279,2,42,6
280,0,42,7
281,0,43,1
282,0,43,2
283,0,43,3
284,0,43,4
285,0,43,5
286,0,43,6
